patch_size,regime,density,seed,threshold,steps,burn_in,board_size,init_density,final_pred_density,final_true_density,acc_self_first,acc_first,acc_last,f1_first,f1_last,avg_acc,avg_f1,prec_first,rec_first,prec_last,rec_last,first_zero_step,first_one_step,checkpoint,model_variant,temperature,adaptive,adaptive_gain,thr_min,thr_max,target_density
5,mid,0.6,0,0.5,50,60,128,0.0975341796875,1.0,0.07025146484375,0.90557861328125,0.90557861328125,0.0728759765625,0.6229588106263709,0.13585163272272158,0.256668701171875,0.20001108488066507,0.5101796407185629,0.799749687108886,0.0728759765625,1.0,,42.0,checkpoints_weighted/best_model_patch5_mid_p0.6_epoch18.pth,match,1.0,False,0.0,0.1,0.9,0.0975341796875
5,late,0.2,0,0.5,50,160,128,0.07720947265625,0.966796875,0.078369140625,0.9276123046875,0.9276123046875,0.10675048828125,0.6239695624603678,0.14239671842953414,0.396065673828125,0.21903212816604017,0.5209105346744309,0.7778656126482213,0.07670454545454546,0.9918367346938776,,,checkpoints_weighted/best_model_patch5_late_p0.2_epoch16.pth,match,1.0,False,0.0,0.1,0.9,0.07720947265625
5,late,0.4,0,0.5,50,160,128,0.07098388671875,1.0,0.06744384765625,0.9295654296875,0.9295654296875,0.06756591796875,0.6331849968213604,0.12657938368303698,0.27526611328125,0.19484109932949878,0.5022692889561271,0.8564058469475494,0.06756591796875,1.0,,36.0,checkpoints_weighted/best_model_patch5_late_p0.4_epoch13.pth,match,1.0,False,0.0,0.1,0.9,0.07098388671875
5,late,0.6,0,0.5,50,160,128,0.0618896484375,1.0,0.05914306640625,0.93707275390625,0.93707275390625,0.0614013671875,0.6163007071082991,0.11569867740080506,0.30086181640625,0.1778497603991792,0.4949193066347878,0.8165680473372781,0.0614013671875,1.0,,44.0,checkpoints_weighted/best_model_patch5_late_p0.6_epoch14.pth,match,1.0,False,0.0,0.1,0.9,0.0618896484375
7,early,0.2,0,0.5,50,10,128,0.1708984375,1.0,0.1004638671875,0.8204345703125,0.8204345703125,0.1026611328125,0.5774202815282965,0.18620613306764086,0.2215283203125,0.24887569307223992,0.4829408938010572,0.7178571428571429,0.1026611328125,1.0,,30.0,checkpoints_weighted/best_model_patch7_early_p0.2_epoch15.pth,match,1.0,False,0.0,0.1,0.9,0.1708984375
7,early,0.4,0,0.5,50,10,128,0.2242431640625,1.0,0.11358642578125,0.729736328125,0.729736328125,0.113525390625,0.5478864610986318,0.2039026529269897,0.190736083984375,0.2707960694880689,0.4383986928104575,0.7302667392487752,0.113525390625,1.0,,17.0,checkpoints_weighted/best_model_patch7_early_p0.4_epoch14.pth,match,1.0,False,0.0,0.1,0.9,0.2242431640625
7,early,0.6,0,0.5,50,10,128,0.11871337890625,0.87530517578125,0.0975341796875,0.8848876953125,0.8848876953125,0.21112060546875,0.6116144975288303,0.18929937903782226,0.441300048828125,0.2528882095137917,0.5101339745791824,0.7634961439588689,0.10522278781117077,0.9419475655430711,,,checkpoints_weighted/best_model_patch7_early_p0.6_epoch9.pth,match,1.0,False,0.0,0.1,0.9,0.11871337890625
7,mid,0.2,0,0.5,50,60,128,0.1004638671875,0.9896240234375,0.0838623046875,0.90911865234375,0.90911865234375,0.09649658203125,0.6263488080301128,0.1602087706359562,0.3909326171875,0.24289445020923967,0.5335613510047028,0.7582017010935601,0.08708523498211422,0.9992922859164898,,,checkpoints_weighted/best_model_patch7_mid_p0.2_epoch16.pth,match,1.0,False,0.0,0.1,0.9,0.1004638671875
7,mid,0.4,0,0.5,50,60,128,0.11358642578125,0.99591064453125,0.07867431640625,0.89215087890625,0.89215087890625,0.08721923828125,0.6229997866439086,0.1540811131851349,0.32775146484375,0.24579103760416693,0.5166312809624911,0.784524449220849,0.08347122632836919,1.0,,,checkpoints_weighted/best_model_patch7_mid_p0.4_epoch12.pth,match,1.0,False,0.0,0.1,0.9,0.11358642578125
7,mid,0.6,0,0.5,50,60,128,0.0975341796875,0.73406982421875,0.07025146484375,0.9095458984375,0.9095458984375,0.31121826171875,0.6293146573286643,0.14643370395582786,0.547095947265625,0.23857224813578953,0.5241666666666667,0.7872340425531915,0.08048557412488568,0.8107202680067002,,,checkpoints_weighted/best_model_patch7_mid_p0.6_epoch12.pth,match,1.0,False,0.0,0.1,0.9,0.0975341796875
