patch_size,regime,density,seed,threshold,steps,burn_in,board_size,init_density,final_pred_density,final_true_density,acc_self_first,acc_first,acc_last,f1_first,f1_last,avg_acc,avg_f1,prec_first,rec_first,prec_last,rec_last,first_zero_step,first_one_step,checkpoint,model_variant,temperature,adaptive,adaptive_gain,thr_min,thr_max,target_density
5,early,0.4,0,0.6,50,10,128,0.2242431640625,0.2249755859375,0.11358642578125,0.75299072265625,0.75299072265625,0.714111328125,0.5306737794271136,0.15542733501622788,0.6984814453125,0.19690421636900324,0.46231561931703374,0.6227544910179641,0.11692892023874119,0.23172043010752688,,,checkpoints_weighted/best_model_patch5_life_patches_epoch15.pth,general,1.0,True,0.5,0.2,0.85,0.2242431640625
5,early,0.6,0,0.6,50,10,128,0.11871337890625,0.12493896484375,0.0975341796875,0.89404296875,0.89404296875,0.80133056640625,0.6118067978533095,0.10797478761304467,0.80599853515625,0.165182852439523,0.5413533834586466,0.7033419023136247,0.09623839765510503,0.1229712858926342,,,checkpoints_weighted/best_model_patch5_life_patches_epoch15.pth,general,1.0,True,0.5,0.2,0.85,0.11871337890625
5,mid,0.2,0,0.6,50,60,128,0.1004638671875,0.0936279296875,0.0838623046875,0.91058349609375,0.91058349609375,0.83734130859375,0.6098535286284954,0.09569053274516458,0.8372021484375,0.1847009951392903,0.5429113323850165,0.695625759416768,0.09191655801825294,0.09978768577494693,,,checkpoints_weighted/best_model_patch5_life_patches_epoch15.pth,general,1.0,True,0.5,0.2,0.85,0.1004638671875
5,mid,0.4,0,0.6,50,60,128,0.11358642578125,0.1046142578125,0.07867431640625,0.90228271484375,0.90228271484375,0.8323974609375,0.6246189917936694,0.10728218465539663,0.817723388671875,0.1853224934519427,0.5540765391014975,0.7157442235357335,0.09626604434072346,0.1211453744493392,,,checkpoints_weighted/best_model_patch5_life_patches_epoch15.pth,general,1.0,True,0.5,0.2,0.85,0.11358642578125
5,mid,0.6,0,0.6,50,60,128,0.0975341796875,0.1055908203125,0.07025146484375,0.91650390625,0.91650390625,0.8389892578125,0.6218905472636815,0.09781121751025994,0.848404541015625,0.18069138522167105,0.556930693069307,0.7040050062578223,0.08265895953757225,0.11976549413735343,,,checkpoints_weighted/best_model_patch5_life_patches_epoch15.pth,general,1.0,True,0.5,0.2,0.85,0.0975341796875
5,late,0.2,0,0.6,50,160,128,0.07720947265625,0.06768798828125,0.078369140625,0.9410400390625,0.9410400390625,0.871826171875,0.6400894187779435,0.10025706940874035,0.877611083984375,0.21782605878934178,0.6053558844256519,0.6790513833992095,0.1055004508566276,0.09551020408163265,,,checkpoints_weighted/best_model_patch5_life_patches_epoch15.pth,general,1.5,True,0.5,0.2,0.85,0.07720947265625
5,late,0.4,0,0.6,50,160,128,0.07098388671875,0.077880859375,0.06744384765625,0.9412841796875,0.9412841796875,0.87286376953125,0.6397003745318351,0.1258917331095258,0.88484130859375,0.23289353997391637,0.5666887856668879,0.7343078245915735,0.11755485893416928,0.13550135501355012,,,checkpoints_weighted/best_model_patch5_life_patches_epoch15.pth,general,1.0,True,0.5,0.2,0.85,0.07098388671875
5,late,0.6,0,0.6,50,160,128,0.0618896484375,0.0738525390625,0.05914306640625,0.94775390625,0.94775390625,0.8824462890625,0.6360544217687075,0.13086642599277978,0.897996826171875,0.2228071159445033,0.5590433482810164,0.73767258382643,0.11983471074380166,0.1441351888667992,,,checkpoints_weighted/best_model_patch5_life_patches_epoch15.pth,general,1.0,True,0.5,0.2,0.85,0.0618896484375
7,early,0.2,0,0.6,50,10,128,0.1708984375,0.16455078125,0.1004638671875,0.83489990234375,0.83489990234375,0.76708984375,0.571519087597022,0.12836911831886708,0.762569580078125,0.19681359113579813,0.5135212069456305,0.6442857142857142,0.10422848664688428,0.1670630202140309,,,checkpoints_weighted/best_model_patch7_life_patches_epoch15.pth,general,1.0,True,0.5,0.2,0.85,0.1708984375
7,early,0.4,0,0.6,50,10,128,0.2242431640625,0.21917724609375,0.11358642578125,0.75341796875,0.75341796875,0.71588134765625,0.5196195005945304,0.14602825169693634,0.6997265625,0.1956077793936317,0.4613597972972973,0.5947196516058791,0.11083263714842662,0.21397849462365592,,,checkpoints_weighted/best_model_patch7_life_patches_epoch15.pth,general,1.0,True,0.5,0.2,0.85,0.2242431640625
7,early,0.6,0,0.6,50,10,128,0.11871337890625,0.12322998046875,0.0975341796875,0.9005126953125,0.9005126953125,0.81146240234375,0.6240774907749076,0.14692074012703674,0.818778076171875,0.2074365481181335,0.5658720200752823,0.6956298200514138,0.13174839029222388,0.16604244694132334,,,checkpoints_weighted/best_model_patch7_life_patches_epoch15.pth,general,1.0,True,0.5,0.2,0.85,0.11871337890625
7,mid,0.2,0,0.6,50,60,128,0.1004638671875,0.113525390625,0.0838623046875,0.9189453125,0.9189453125,0.84075927734375,0.6309060589216231,0.2028719828903147,0.855928955078125,0.26380242918577657,0.5814549180327869,0.68955042527339,0.17849462365591398,0.23496107572540695,,,checkpoints_weighted/best_model_patch7_life_patches_epoch15.pth,general,1.0,True,0.5,0.2,0.85,0.1004638671875
7,mid,0.4,0,0.6,50,60,128,0.11358642578125,0.12823486328125,0.07867431640625,0.9056396484375,0.9056396484375,0.81927490234375,0.6283653846153846,0.144961016459717,0.83344970703125,0.23726808717234582,0.5685080469769465,0.7023105857066093,0.11946692051404094,0.184287812041116,,,checkpoints_weighted/best_model_patch7_life_patches_epoch15.pth,general,1.0,True,0.5,0.2,0.85,0.11358642578125
7,mid,0.6,0,0.6,50,60,128,0.0975341796875,0.10595703125,0.07025146484375,0.92132568359375,0.92132568359375,0.846435546875,0.6392387349566191,0.14129692832764507,0.860443115234375,0.2218351269603538,0.5782278481012658,0.7146433041301627,0.11923963133640553,0.17336683417085427,,,checkpoints_weighted/best_model_patch7_life_patches_epoch15.pth,general,1.0,True,0.5,0.2,0.85,0.0975341796875
7,late,0.2,0,0.6,50,160,128,0.07720947265625,0.087646484375,0.078369140625,0.93829345703125,0.93829345703125,0.87225341796875,0.6426299045599152,0.2134535888763623,0.89621826171875,0.3038098676870614,0.5812020460358056,0.7185770750988142,0.1977715877437326,0.23183673469387756,,,checkpoints_weighted/best_model_patch7_life_patches_epoch15.pth,general,1.0,True,0.5,0.2,0.85,0.07720947265625
7,late,0.4,0,0.6,50,160,128,0.07098388671875,0.07794189453125,0.06744384765625,0.94696044921875,0.94696044921875,0.890625,0.6596161378770075,0.24832214765100669,0.904951171875,0.31850410606769,0.6057553956834533,0.7239896818572656,0.2317932654659358,0.26738934056007224,,,checkpoints_weighted/best_model_patch7_life_patches_epoch15.pth,general,1.0,True,0.5,0.2,0.85,0.07098388671875
7,late,0.6,0,0.6,50,160,128,0.0618896484375,0.05718994140625,0.05914306640625,0.953369140625,0.953369140625,0.90850830078125,0.6561656165616562,0.2285126093669583,0.918956298828125,0.319845861417482,0.6034768211920529,0.7189349112426036,0.23692636072572038,0.220675944333996,,,checkpoints_weighted/best_model_patch7_life_patches_epoch15.pth,general,1.0,True,0.5,0.2,0.85,0.0618896484375
